9,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,596,Perceptions of social and resistance skills,"Knowledge, attitudes, & values",,Grades 9 - 12,False,302,151,151,,,4.08,3.77,0.58,0.61,0.52,0.519539725932417,20,,8.97592977211481E-06,,,True,,,Student
34,50135,Character Education,103,Caring School Community (CSC),unknown,282,Negative behavior,Behavior,,Grades K–4,False,350,175,175,3,3,51.33,48.36,10,10,0.29,0.296359453630482,11,,0.00705911507977519,,,True,,,Student
37,50135,Character Education,103,Caring School Community (CSC),unknown,303,"Supportive, friendly, and helpful behavior",Behavior,,Grades K–4,False,350,175,175,3,3,52.35,47.11,10,10,0.52,0.522869877785766,20,,1.8588721609758E-06,,,True,,,Student
48,50142,Character Education,103,Caring School Community (CSC),None,298,Stolen money or property,Behavior,,Grades 5–6,False,635,345,290,5,5,0.26,0.25,0.43,0.45,-0.02,0.0227393988426402,-1,,0.801951132847878,,,False,,,Student
50,50142,Character Education,103,Caring School Community (CSC),None,308,Threatened to hurt someone,Behavior,,Grades 5–6,False,635,345,290,5,5,0.45,0.43,0.56,0.57,-0.04,0.0353821024133982,-2,,0.615972437769533,,,False,,,Student
53,50142,Character Education,103,Caring School Community (CSC),None,254,Been in a gang fight,Behavior,,Grades 5–6,False,635,345,290,5,5,0.1,0.14,0.35,0.4,0.11,-0.106922664349756,4,,0.168384283058664,,,False,,,Student
58,50142,Character Education,103,Caring School Community (CSC),None,269,Had money or property taken by force or threat taken by force or threat,Behavior,,Grades 5–6,False,635,345,290,5,5,0.17,0.22,0.4,0.49,0.11,-0.112640910652327,4,,0.168384283058664,,,False,,,Student
64,50391,Character Education,187,Lessons in Character,business as usual,567,Friendship and belonging,"Knowledge, attitudes, & values",,Grade 4,False,372,210,162,11,10,3.22,2.97,,,0.18,,7,,0.0862189514301464,,,False,,,Student
88,50142,Character Education,103,Caring School Community (CSC),None,584,Outgroups discrepancy score (deviation from friend),"Knowledge, attitudes, & values",,Grades 3–5,False,1265,683,582,5,5,0.02,-0.09,0.48,0.52,0.22,0.220398645952895,9,,0.000118817879444788,,,True,,,Student
97,50135,Character Education,103,Caring School Community (CSC),Unknown,15,California Achievement Test (CAT),Academic achievement,,Grade 4,False,339,173,166,,,712.16,712.36,,,-0.02,,-1,,0.85407484832934,,,False,,,Student
98,50135,Character Education,103,Caring School Community (CSC),Unknown,55,Holistic measure of reading comprehension,Academic achievement,,Grade 6,False,236,137,99,,,51.43,48.02,9.82,9.96,0.34,0.34407350901999,13,,0.0105623442019019,,,True,,,Student
105,50129,Character Education,102,Building Decision Skills,None,560,Ethical awareness,"Knowledge, attitudes, & values",,Grade 12,False,282,141,141,3,3,2.25,1.85,,,0.56,,21,,4.04259724762213E-06,,,True,,,Student
130,50374,Character Education,186,Facing History and Ourselves,business as usual,293,Self-reported fighting,Behavior,,Grade 8,False,346,212,134,14,8,1.64,2.24,2.41,3.75,0.2,-0.199569386313801,8,,0.0709509651317465,,,False,,,Student
135,50374,Character Education,186,Facing History and Ourselves,business as usual,565,Ethnic identity,"Knowledge, attitudes, & values",,Grade 8,False,346,212,134,14,8,3.48,3.6,0.78,0.3,-0.19,-0.187463806382812,-8,,0.0861702279919244,,,False,,,Student
2,50931,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,590,Perception of emotional competence,"Knowledge, attitudes, & values",,Grades 9 - 12,False,200,100,100,,,4.09,3.79,0.52,0.59,0.55,0.537422858483336,21,,0.000137112106387671,,,True,,,Student
12,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,591,Perceptions of assertiveness and efficacy,"Knowledge, attitudes, & values",,Grades 9 - 12,False,302,151,151,,,4.18,3.94,0.7,0.89,0.29,0.29900419811687,11,,0.0122602221632536,,,True,,,Student
15,50932,Character Education,252,Too Good for Drugs and Violence (TGFD & V),Business as usual,576,Intentions for fighting (no intentions),"Knowledge, attitudes, & values",,Grades 9 - 12,False,150,75,75,,,,,,,0.13,,5,,0.42724962628844,,,False,,,Student
18,50937,Character Education,251,Too Good for Drugs (TGFD),Business as usual,577,Intentions for marijuana,"Knowledge, attitudes, & values",Follow-up,Grade 6,False,6,3,3,,,,,,,0.23,,9,,0.789466762673774,,,False,,,Student
31,50441,Character Education,204,Connect with Kids,None,267,Elementary school student survey: Part 2,Behavior,,Grades 3-5,False,24,13,11,13,11,4.56,4.44,0.42,0.51,0.25,0.25019743721338,10,,0.547684109861472,,,False,,,Student
44,50142,Character Education,103,Caring School Community (CSC),None,313,Use of cigarettes,Behavior,,Grade 5-6,False,635,345,290,,,0.13,0.12,0.3,0.32,-0.03,0.0322936248335623,-1,,0.706761170645008,,,False,,,Student
52,50142,Character Education,103,Caring School Community (CSC),None,306,Taken a car without permission,Behavior,,Grades 5–6,False,635,345,290,5,5,0.03,0.09,0.21,0.34,0.22,-0.216328948107926,9,,0.0061084343092348,,,True,,,Student
57,50142,Character Education,103,Caring School Community (CSC),None,271,Had property stolen from desk,Behavior,,Grades 5–6,False,635,345,290,5,5,0.49,0.67,0.54,0.61,0.31,-0.313752424826042,12,,0.000122929181452958,,,True,,,Student
63,50391,Character Education,187,Lessons in Character,business as usual,620,Student respect,"Knowledge, attitudes, & values",,Grade 4,False,372,210,162,11,10,3.3,3.11,,,0.13,,5,,0.214766903365002,,,False,,,Student
68,50135,Character Education,103,Caring School Community (CSC),unknown,556,Democratic values,"Knowledge, attitudes, & values",,Grade 4,False,294,149,145,3,3,3.31,3.12,0.37,0.45,0.46,0.460649397828583,18,,0.000100599373311527,,,True,,,Student
